job_id,job_role,required_skills,experience_required,job_location,employment_type,salary_range_lpa,job_description
38,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Pune,Internship,10-29,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
39,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Delhi,Full-Time,4-22,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
40,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",3,Delhi,Full-Time,9-15,"We are hiring a Cloud Engineer with 3+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
41,Backend Developer,"Python, Java, APIs, SQL, Docker",6,Pune,Contract,10-30,"We are hiring a Backend Developer with 6+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
42,Backend Developer,"Python, Java, APIs, SQL, Docker",4,Bangalore,Full-Time,8-35,"We are hiring a Backend Developer with 4+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
43,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",8,Delhi,Full-Time,5-32,"We are hiring a AI Engineer with 8+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
44,Software Engineer,"Java, C++, Git, Linux, Problem Solving",10,Remote,Contract,9-27,"We are hiring a Software Engineer with 10+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
45,Backend Developer,"Python, Java, APIs, SQL, Docker",4,Pune,Contract,5-29,"We are hiring a Backend Developer with 4+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
46,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",0,Hyderabad,Contract,10-14,"We are hiring a Data Scientist with 0+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
47,Backend Developer,"Python, Java, APIs, SQL, Docker",2,Delhi,Full-Time,8-12,"We are hiring a Backend Developer with 2+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
48,Backend Developer,"Python, Java, APIs, SQL, Docker",0,Delhi,Internship,10-35,"We are hiring a Backend Developer with 0+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
49,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",8,Delhi,Internship,6-14,"We are hiring a Frontend Developer with 8+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
50,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",4,Remote,Full-Time,9-33,"We are hiring a Cloud Engineer with 4+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
51,Backend Developer,"Python, Java, APIs, SQL, Docker",5,Remote,Contract,4-19,"We are hiring a Backend Developer with 5+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
52,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",9,Pune,Contract,6-14,"We are hiring a Full Stack Developer with 9+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
53,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",1,Bangalore,Contract,10-32,"We are hiring a Full Stack Developer with 1+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
54,Backend Developer,"Python, Java, APIs, SQL, Docker",6,Remote,Contract,9-24,"We are hiring a Backend Developer with 6+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
55,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",6,Remote,Contract,6-17,"We are hiring a Cloud Engineer with 6+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
56,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",5,Bangalore,Contract,8-12,"We are hiring a Data Scientist with 5+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
57,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",7,Delhi,Contract,5-25,"We are hiring a Data Analyst with 7+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
58,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",9,Delhi,Contract,9-14,"We are hiring a Data Scientist with 9+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
59,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Delhi,Full-Time,7-27,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
60,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Remote,Full-Time,5-19,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
61,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",7,Bangalore,Contract,5-32,"We are hiring a Data Analyst with 7+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
62,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",10,Delhi,Contract,4-34,"We are hiring a Data Analyst with 10+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
63,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",3,Hyderabad,Full-Time,5-30,"We are hiring a Cloud Engineer with 3+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
64,Software Engineer,"Java, C++, Git, Linux, Problem Solving",5,Bangalore,Contract,10-12,"We are hiring a Software Engineer with 5+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
65,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Bangalore,Internship,5-21,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
66,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",9,Hyderabad,Full-Time,7-31,"We are hiring a Data Scientist with 9+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
67,Software Engineer,"Java, C++, Git, Linux, Problem Solving",8,Hyderabad,Internship,9-20,"We are hiring a Software Engineer with 8+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
68,Backend Developer,"Python, Java, APIs, SQL, Docker",4,Hyderabad,Contract,7-21,"We are hiring a Backend Developer with 4+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
69,Backend Developer,"Python, Java, APIs, SQL, Docker",7,Remote,Internship,7-20,"We are hiring a Backend Developer with 7+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
70,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Remote,Internship,7-13,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
71,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",6,Hyderabad,Contract,6-19,"We are hiring a ML Engineer with 6+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
72,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",4,Hyderabad,Full-Time,4-28,"We are hiring a AI Engineer with 4+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
73,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",5,Bangalore,Contract,6-22,"We are hiring a Data Scientist with 5+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
74,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Bangalore,Full-Time,9-27,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
75,Software Engineer,"Java, C++, Git, Linux, Problem Solving",0,Pune,Full-Time,6-29,"We are hiring a Software Engineer with 0+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
76,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",4,Delhi,Full-Time,10-35,"We are hiring a Frontend Developer with 4+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
77,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Pune,Internship,6-16,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
78,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",6,Remote,Internship,9-26,"We are hiring a Cloud Engineer with 6+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
79,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",10,Hyderabad,Full-Time,4-26,"We are hiring a Frontend Developer with 10+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
80,Software Engineer,"Java, C++, Git, Linux, Problem Solving",10,Hyderabad,Contract,8-26,"We are hiring a Software Engineer with 10+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
81,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Remote,Full-Time,6-26,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
82,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",8,Hyderabad,Contract,6-25,"We are hiring a Data Analyst with 8+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
83,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",1,Bangalore,Internship,5-27,"We are hiring a Data Scientist with 1+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
84,Backend Developer,"Python, Java, APIs, SQL, Docker",5,Hyderabad,Internship,10-19,"We are hiring a Backend Developer with 5+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
85,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",10,Remote,Contract,8-25,"We are hiring a Cloud Engineer with 10+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
86,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",8,Delhi,Internship,6-16,"We are hiring a AI Engineer with 8+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
87,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",7,Pune,Full-Time,7-19,"We are hiring a AI Engineer with 7+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
88,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Pune,Internship,9-15,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
89,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",9,Pune,Internship,7-13,"We are hiring a AI Engineer with 9+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
90,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Bangalore,Contract,4-34,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
91,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",2,Remote,Contract,6-15,"We are hiring a Cloud Engineer with 2+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
92,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",7,Remote,Internship,10-29,"We are hiring a Frontend Developer with 7+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
93,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",0,Hyderabad,Contract,5-30,"We are hiring a AI Engineer with 0+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
94,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",2,Pune,Contract,6-12,"We are hiring a Data Analyst with 2+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
95,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",3,Hyderabad,Full-Time,10-24,"We are hiring a Full Stack Developer with 3+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
96,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",8,Hyderabad,Internship,9-15,"We are hiring a Data Analyst with 8+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
97,Software Engineer,"Java, C++, Git, Linux, Problem Solving",4,Hyderabad,Contract,4-19,"We are hiring a Software Engineer with 4+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
98,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",8,Remote,Full-Time,7-33,"We are hiring a Full Stack Developer with 8+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
99,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",9,Remote,Contract,5-29,"We are hiring a Frontend Developer with 9+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
100,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Delhi,Contract,7-23,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
101,Software Engineer,"Java, C++, Git, Linux, Problem Solving",2,Pune,Contract,7-30,"We are hiring a Software Engineer with 2+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
102,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",5,Hyderabad,Internship,4-17,"We are hiring a Data Scientist with 5+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
103,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",1,Hyderabad,Full-Time,4-13,"We are hiring a Full Stack Developer with 1+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
104,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",10,Pune,Contract,9-21,"We are hiring a AI Engineer with 10+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
105,Backend Developer,"Python, Java, APIs, SQL, Docker",3,Hyderabad,Full-Time,4-27,"We are hiring a Backend Developer with 3+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
106,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",4,Delhi,Full-Time,8-15,"We are hiring a Frontend Developer with 4+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
107,Backend Developer,"Python, Java, APIs, SQL, Docker",8,Delhi,Full-Time,8-28,"We are hiring a Backend Developer with 8+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
108,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",3,Pune,Internship,6-16,"We are hiring a Data Analyst with 3+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
109,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",1,Hyderabad,Contract,8-14,"We are hiring a ML Engineer with 1+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
110,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",6,Bangalore,Internship,10-21,"We are hiring a Full Stack Developer with 6+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
111,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",3,Pune,Contract,6-29,"We are hiring a ML Engineer with 3+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
112,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",4,Hyderabad,Contract,8-14,"We are hiring a Cloud Engineer with 4+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
113,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",0,Hyderabad,Contract,10-12,"We are hiring a AI Engineer with 0+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
114,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Delhi,Contract,4-33,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
115,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Delhi,Full-Time,10-35,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
116,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",6,Hyderabad,Internship,6-35,"We are hiring a Data Analyst with 6+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
117,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",10,Delhi,Internship,9-24,"We are hiring a ML Engineer with 10+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
118,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",1,Remote,Contract,8-13,"We are hiring a ML Engineer with 1+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
119,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",0,Hyderabad,Contract,10-21,"We are hiring a AI Engineer with 0+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
120,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",8,Hyderabad,Full-Time,9-27,"We are hiring a Full Stack Developer with 8+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
121,Backend Developer,"Python, Java, APIs, SQL, Docker",10,Delhi,Internship,9-16,"We are hiring a Backend Developer with 10+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
122,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",10,Remote,Full-Time,5-20,"We are hiring a AI Engineer with 10+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
123,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",6,Bangalore,Full-Time,9-31,"We are hiring a Data Analyst with 6+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
124,Software Engineer,"Java, C++, Git, Linux, Problem Solving",9,Remote,Contract,5-28,"We are hiring a Software Engineer with 9+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
125,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Delhi,Contract,5-15,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
126,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Pune,Full-Time,6-19,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
127,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",8,Hyderabad,Internship,10-19,"We are hiring a ML Engineer with 8+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
128,Software Engineer,"Java, C++, Git, Linux, Problem Solving",5,Bangalore,Full-Time,8-35,"We are hiring a Software Engineer with 5+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
129,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",10,Bangalore,Contract,6-25,"We are hiring a ML Engineer with 10+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
130,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Bangalore,Internship,7-12,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
131,Software Engineer,"Java, C++, Git, Linux, Problem Solving",0,Pune,Contract,7-28,"We are hiring a Software Engineer with 0+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
132,Backend Developer,"Python, Java, APIs, SQL, Docker",3,Pune,Contract,4-14,"We are hiring a Backend Developer with 3+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
133,Software Engineer,"Java, C++, Git, Linux, Problem Solving",3,Bangalore,Contract,4-28,"We are hiring a Software Engineer with 3+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
134,Backend Developer,"Python, Java, APIs, SQL, Docker",10,Delhi,Internship,10-18,"We are hiring a Backend Developer with 10+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
135,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",0,Remote,Internship,10-34,"We are hiring a Frontend Developer with 0+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
136,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Remote,Internship,7-24,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
137,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",1,Pune,Contract,6-25,"We are hiring a Frontend Developer with 1+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
138,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",8,Hyderabad,Contract,8-30,"We are hiring a ML Engineer with 8+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
139,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",2,Bangalore,Contract,5-25,"We are hiring a ML Engineer with 2+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
140,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",4,Delhi,Full-Time,6-23,"We are hiring a Data Analyst with 4+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
